Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Home_xG,Away,AwayGoals,Away_xG,Attendance,Venue,Referee,Notes,MatchURL
FIFA World Cup,M,NA,1982,First group stage,NA,Mon,6/14/1982,17:15,Italy it,0,NA,pl Poland,0,NA,33000,Estadio Municipal de Balaï¿½dos (Neutral Site),Michel Vautrot,,https://fbref.com/en/matches/43a9fbd5/Italy-Poland-June-14-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Mon,6/14/1982,21:00,Brazil br,2,NA,su Soviet Union,1,NA,68000,Ramon Sanchez Pizjuan (Neutral Site),Augusto Lamo Castillo,,https://fbref.com/en/matches/d44f1404/Brazil-Soviet-Union-June-14-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Tue,6/15/1982,17:15,Peru pe,0,NA,cm Cameroon,0,NA,11000,Riazor (Neutral Site),Franz Woehrer,,https://fbref.com/en/matches/e7cddb83/Peru-Cameroon-June-15-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Tue,6/15/1982,21:00,Hungary hu,10,NA,sv El Salvador,1,NA,23000,Nuevo Estadio (Neutral Site),Ebrahim Al Doy,,https://fbref.com/en/matches/80427286/Hungary-El-Salvador-June-15-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Tue,6/15/1982,21:00,Scotland sct,5,NA,nz New Zealand,2,NA,36000,La Rosaleda (Neutral Site),David Socha,,https://fbref.com/en/matches/724f1c8c/Scotland-New-Zealand-June-15-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Wed,6/16/1982,17:15,England eng,3,NA,fr France,1,NA,44172,San Mames (Neutral Site),Antonio Garrido,,https://fbref.com/en/matches/a11e42aa/England-France-June-16-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Wed,6/16/1982,17:15,West Germany de,1,NA,dz Algeria,2,NA,42000,El Molinon (Neutral Site),Enrique Labo Revoredo,,https://fbref.com/en/matches/316b802c/West-Germany-Algeria-June-16-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Wed,6/16/1982,21:00,Spain es,1,NA,hn Honduras,1,NA,49562,Luis Casanova (Neutral Site),Arturo Andres Ithurralde,,https://fbref.com/en/matches/47bfc899/Spain-Honduras-June-16-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Thu,6/17/1982,17:15,Chile cl,0,NA,at Austria,1,NA,22500,Carlos Tartiere (Neutral Site),Juan Cardellino De San Vicente,,https://fbref.com/en/matches/fb6b82be/Chile-Austria-June-17-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Thu,6/17/1982,17:45,Czechoslovakia cs,1,NA,kw Kuwait,1,NA,25000,Jose Zorrilla (Neutral Site),Benjamin Dwomoh,,https://fbref.com/en/matches/e345a59f/Czechoslovakia-Kuwait-June-17-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Thu,6/17/1982,21:00,Yugoslavia yu,0,NA,nir Northern Ireland,0,NA,25000,La Romareda (Neutral Site),Erik Fredriksson,,https://fbref.com/en/matches/782ffcf7/Yugoslavia-Northern-Ireland-June-17-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Fri,6/18/1982,17:15,Italy it,1,NA,pe Peru,1,NA,25000,Estadio Municipal de Balaï¿½dos (Neutral Site),Walter Eschweiler,,https://fbref.com/en/matches/30463ca2/Italy-Peru-June-18-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Fri,6/18/1982,21:00,Argentina ar,4,NA,hu Hungary,1,NA,32093,Jose Rico Perez (Neutral Site),Belaid Lacarne,,https://fbref.com/en/matches/88e27c54/Argentina-Hungary-June-18-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Fri,6/18/1982,21:00,Brazil br,4,NA,sct Scotland,1,NA,47379,Benito Villamarin (Neutral Site),Jesus Paulino Siles,,https://fbref.com/en/matches/301140df/Brazil-Scotland-June-18-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Sat,6/19/1982,19:15,Poland pl,0,NA,cm Cameroon,0,NA,19000,Riazor (Neutral Site),Alexis Ponnet,,https://fbref.com/en/matches/1be39e64/Poland-Cameroon-June-19-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Sat,6/19/1982,21:00,Belgium be,1,NA,sv El Salvador,0,NA,15000,Nuevo Estadio (Neutral Site),Malcolm Moffatt,,https://fbref.com/en/matches/4ff6936b/Belgium-El-Salvador-June-19-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Sat,6/19/1982,21:00,Soviet Union su,3,NA,nz New Zealand,0,NA,19000,La Rosaleda (Neutral Site),Yusef Mohamed El Ghoul,,https://fbref.com/en/matches/d34a5f53/Soviet-Union-New-Zealand-June-19-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Sun,6/20/1982,17:15,England eng,2,NA,cs Czechoslovakia,0,NA,41123,San Mames (Neutral Site),Charles Corver,,https://fbref.com/en/matches/5cc94ee1/England-Czechoslovakia-June-20-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Sun,6/20/1982,17:15,West Germany de,4,NA,cl Chile,1,NA,42000,El Molinon (Neutral Site),Bruno Galler,,https://fbref.com/en/matches/005f58a0/West-Germany-Chile-June-20-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Sun,6/20/1982,21:00,Spain es,2,NA,yu Yugoslavia,1,NA,48000,Luis Casanova (Neutral Site),Henning Lund-Sorensen,,https://fbref.com/en/matches/ae902635/Spain-Yugoslavia-June-20-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Mon,6/21/1982,17:15,Algeria dz,0,NA,at Austria,2,NA,22000,Carlos Tartiere (Neutral Site),Tony Boskovic,,https://fbref.com/en/matches/eb0400e3/Algeria-Austria-June-21-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Mon,6/21/1982,17:15,France fr,4,NA,kw Kuwait,1,NA,30043,Jose Zorrilla (Neutral Site),Miroslav Stupar,,https://fbref.com/en/matches/cc716fff/France-Kuwait-June-21-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Mon,6/21/1982,21:00,Honduras hn,1,NA,nir Northern Ireland,1,NA,15000,La Romareda (Neutral Site),Thomson Tam Sun Chan,,https://fbref.com/en/matches/923ae795/Honduras-Northern-Ireland-June-21-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Tue,6/22/1982,17:15,Poland pl,5,NA,pe Peru,1,NA,25000,Riazor (Neutral Site),Mario Rubio Vazquez,,https://fbref.com/en/matches/24fbb91a/Poland-Peru-June-22-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Tue,6/22/1982,21:00,Soviet Union su,2,NA,sct Scotland,2,NA,45000,La Rosaleda (Neutral Site),Nicolae Rainea,,https://fbref.com/en/matches/24159f46/Soviet-Union-Scotland-June-22-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Tue,6/22/1982,21:00,Belgium be,1,NA,hu Hungary,1,NA,37000,Nuevo Estadio (Neutral Site),Clive White,,https://fbref.com/en/matches/8d345e4d/Belgium-Hungary-June-22-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Wed,6/23/1982,17:15,Italy it,1,NA,cm Cameroon,1,NA,20000,Estadio Municipal de Balaï¿½dos (Neutral Site),Bogdan Dotchev,,https://fbref.com/en/matches/1935cf0d/Italy-Cameroon-June-23-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Wed,6/23/1982,21:00,Brazil br,4,NA,nz New Zealand,0,NA,43000,Benito Villamarin (Neutral Site),Damir Matovinovic,,https://fbref.com/en/matches/f5e24340/Brazil-New-Zealand-June-23-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Wed,6/23/1982,21:00,Argentina ar,2,NA,sv El Salvador,0,NA,32500,Jose Rico Perez (Neutral Site),Luis Barrancos,,https://fbref.com/en/matches/5e3ad678/Argentina-El-Salvador-June-23-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Thu,6/24/1982,17:15,France fr,1,NA,cs Czechoslovakia,1,NA,28000,Jose Zorrilla (Neutral Site),Paolo Casarin,,https://fbref.com/en/matches/2eabad24/France-Czechoslovakia-June-24-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Thu,6/24/1982,17:15,Algeria dz,3,NA,cl Chile,2,NA,16000,Carlos Tartiere (Neutral Site),Romulo Mendez Molina,,https://fbref.com/en/matches/460fa625/Algeria-Chile-June-24-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Thu,6/24/1982,21:00,Honduras hn,0,NA,yu Yugoslavia,1,NA,25000,La Romareda (Neutral Site),Gaston Castro,,https://fbref.com/en/matches/7070baac/Honduras-Yugoslavia-June-24-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Fri,6/25/1982,17:15,West Germany de,1,NA,at Austria,0,NA,41000,El Molinon (Neutral Site),Robert Valentine,,https://fbref.com/en/matches/a9644e39/West-Germany-Austria-June-25-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Fri,6/25/1982,17:15,England eng,1,NA,kw Kuwait,0,NA,39700,San Mames (Neutral Site),Gilberto Aristizabal Murcia,,https://fbref.com/en/matches/6d898442/England-Kuwait-June-25-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,First group stage,NA,Fri,6/25/1982,21:00,Northern Ireland nir,1,NA,es Spain,0,NA,49562,Luis Casanova (Neutral Site),Hector Ortiz,,https://fbref.com/en/matches/b8a7b62b/Northern-Ireland-Spain-June-25-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,Second group stage,NA,Mon,6/28/1982,17:15,Austria at,0,NA,fr France,1,NA,37000,Vicente Calderon (Neutral Site),Karoly Palotai,,https://fbref.com/en/matches/abef6806/Austria-France-June-28-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,Second group stage,NA,Mon,6/28/1982,21:00,Poland pl,3,NA,be Belgium,0,NA,65000,Camp Nou (Neutral Site),Jesus Paulino Siles,,https://fbref.com/en/matches/2447d0a1/Poland-Belgium-June-28-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,Second group stage,NA,Tue,6/29/1982,17:15,Italy it,2,NA,ar Argentina,1,NA,43000,Sarria (Neutral Site),Nicolae Rainea,,https://fbref.com/en/matches/82fce951/Italy-Argentina-June-29-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,Second group stage,NA,Tue,6/29/1982,21:00,West Germany de,0,NA,eng England,0,NA,75000,Santiago Bernabeu (Neutral Site),Arnaldo Coelho,,https://fbref.com/en/matches/49a3d674/West-Germany-England-June-29-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,Second group stage,NA,Thu,7/1/1982,17:15,Austria at,2,NA,nir Northern Ireland,2,NA,20000,Vicente Calderon (Neutral Site),Adolf Prokop,,https://fbref.com/en/matches/2c723170/Austria-Northern-Ireland-July-1-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,Second group stage,NA,Thu,7/1/1982,21:00,Belgium be,0,NA,su Soviet Union,1,NA,45000,Camp Nou (Neutral Site),Michel Vautrot,,https://fbref.com/en/matches/2c5aaa8a/Belgium-Soviet-Union-July-1-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,Second group stage,NA,Fri,7/2/1982,17:15,Argentina ar,1,NA,br Brazil,3,NA,44000,Sarria (Neutral Site),Mario Rubio Vazquez,,https://fbref.com/en/matches/a5d1d36b/Argentina-Brazil-July-2-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,Second group stage,NA,Fri,7/2/1982,21:00,West Germany de,2,NA,es Spain,1,NA,90089,Santiago Bernabeu (Neutral Site),Paolo Casarin,,https://fbref.com/en/matches/a72afa02/West-Germany-Spain-July-2-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,Second group stage,NA,Sun,7/4/1982,17:15,France fr,4,NA,nir Northern Ireland,1,NA,37000,Vicente Calderon (Neutral Site),Alojzy Jarguz,,https://fbref.com/en/matches/94fb365f/France-Northern-Ireland-July-4-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,Second group stage,NA,Sun,7/4/1982,21:00,Poland pl,0,NA,su Soviet Union,0,NA,65000,Camp Nou (Neutral Site),Robert Valentine,,https://fbref.com/en/matches/569c836f/Poland-Soviet-Union-July-4-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,Second group stage,NA,Mon,7/5/1982,17:15,Italy it,3,NA,br Brazil,2,NA,44000,Sarria (Neutral Site),Abraham Klein,,https://fbref.com/en/matches/ddc04bce/Italy-Brazil-July-5-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,Second group stage,NA,Mon,7/5/1982,21:00,Spain es,0,NA,eng England,0,NA,75000,Santiago Bernabeu (Neutral Site),Alexis Ponnet,,https://fbref.com/en/matches/9c27644b/Spain-England-July-5-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,Semi-finals,NA,Thu,7/8/1982,17:15,Poland pl,0,NA,it Italy,2,NA,50000,Camp Nou (Neutral Site),Juan Cardellino De San Vicente,,https://fbref.com/en/matches/7d20aafd/Poland-Italy-July-8-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,Semi-finals,NA,Thu,7/8/1982,21:00,West Germany de,3,NA,fr France,3,NA,70000,Ramon Sanchez Pizjuan (Neutral Site),Charles Corver,West Germany won on penalty kicks following extra time,https://fbref.com/en/matches/c7a76845/West-Germany-France-July-8-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,Third-place match,NA,Sat,7/10/1982,20:00,Poland pl,3,NA,fr France,2,NA,28000,Jose Rico Perez (Neutral Site),Antonio Garrido,,https://fbref.com/en/matches/d3d122e8/Poland-France-July-10-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1982,Final,NA,Sun,7/11/1982,20:00,Italy it,3,NA,de West Germany,1,NA,90000,Santiago Bernabeu (Neutral Site),Arnaldo Coelho,,https://fbref.com/en/matches/0dbcdb87/Italy-West-Germany-July-11-1982-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Sat,5/31/1986,12:00,Bulgaria bg,1,NA,it Italy,1,NA,96000,Estadio Azteca (Neutral Site),Erik Fredriksson,,https://fbref.com/en/matches/a8921eb9/Bulgaria-Italy-May-31-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Sun,6/1/1986,12:00,Spain es,0,NA,br Brazil,1,NA,35748,Jalisco (Neutral Site),Christopher Bambridge,,https://fbref.com/en/matches/95e73fbf/Spain-Brazil-June-1-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Sun,6/1/1986,16:00,Canada ca,0,NA,fr France,1,NA,65500,Nou Camp - Estadio Leï¿½n (Neutral Site),Hernan Silva Arce,,https://fbref.com/en/matches/e201baf3/Canada-France-June-1-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Mon,6/2/1986,12:00,Argentina ar,3,NA,kr Korea Republic,1,NA,60000,Estadio Olï¿½mpico Universitario (Neutral Site),Victoriano Sanchez Arminio,,https://fbref.com/en/matches/c5406feb/Argentina-Korea-Republic-June-2-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Mon,6/2/1986,12:00,Soviet Union su,6,NA,hu Hungary,0,NA,16500,Estadio Irapuato (Neutral Site),Luigi Agnolin,,https://fbref.com/en/matches/8add44dd/Soviet-Union-Hungary-June-2-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Mon,6/2/1986,16:00,Morocco ma,0,NA,pl Poland,0,NA,19900,Estadio Universitario (Neutral Site),Jose Luis Martinez Bazan,,https://fbref.com/en/matches/a278e33c/Morocco-Poland-June-2-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Tue,6/3/1986,12:00,Algeria dz,1,NA,nir Northern Ireland,1,NA,22000,Tres de Marzo (Neutral Site),Valeri Butenko,,https://fbref.com/en/matches/5bff9c44/Algeria-Northern-Ireland-June-3-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Tue,6/3/1986,12:00,Belgium be,1,NA,mx Mexico,2,NA,110000,Estadio Azteca (Neutral Site),Carlos Esposito,,https://fbref.com/en/matches/1d1dff69/Belgium-Mexico-June-3-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Tue,6/3/1986,16:00,Portugal pt,1,NA,eng England,0,NA,23000,Tecnologico (Neutral Site),Volker Roth,,https://fbref.com/en/matches/9e007d23/Portugal-England-June-3-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Wed,6/4/1986,12:00,Uruguay uy,1,NA,de West Germany,1,NA,30500,Estadio Corregidora (Neutral Site),Vojtech Christov,,https://fbref.com/en/matches/7651d79e/Uruguay-West-Germany-June-4-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Wed,6/4/1986,12:00,Paraguay py,1,NA,iq Iraq,0,NA,24000,Bombonera - Estadio Nemesio Diez (Neutral Site),Edwin Picon-Ackong,,https://fbref.com/en/matches/e975998d/Paraguay-Iraq-June-4-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Wed,6/4/1986,16:00,Scotland sct,0,NA,dk Denmark,1,NA,18000,Neza (Neutral Site),Lajos Nemeth,,https://fbref.com/en/matches/b0834b41/Scotland-Denmark-June-4-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Thu,6/5/1986,12:00,France fr,1,NA,su Soviet Union,1,NA,36540,Nou Camp - Estadio Leï¿½n (Neutral Site),Romualdo Arppi Filho,,https://fbref.com/en/matches/e2c1d158/France-Soviet-Union-June-5-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Thu,6/5/1986,12:00,Italy it,1,NA,ar Argentina,1,NA,32000,Cuauhtemoc (Neutral Site),Jan Keizer,,https://fbref.com/en/matches/c0bebe91/Italy-Argentina-June-5-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Thu,6/5/1986,16:00,Korea Republic kr,1,NA,bg Bulgaria,1,NA,45000,Estadio Olï¿½mpico Universitario (Neutral Site),Fallaj Khuzam Al Shanar,,https://fbref.com/en/matches/20bf700c/Korea-Republic-Bulgaria-June-5-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Fri,6/6/1986,12:00,Hungary hu,2,NA,ca Canada,0,NA,13800,Estadio Irapuato (Neutral Site),Jamal Al Sharif,,https://fbref.com/en/matches/e0d0b1d8/Hungary-Canada-June-6-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Fri,6/6/1986,12:00,Brazil br,1,NA,dz Algeria,0,NA,48000,Jalisco (Neutral Site),Romulo Mendez Molina,,https://fbref.com/en/matches/41328c58/Brazil-Algeria-June-6-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Fri,6/6/1986,16:00,England eng,0,NA,ma Morocco,0,NA,20200,Tecnologico (Neutral Site),Gabriel Gonzalez Roa,,https://fbref.com/en/matches/6a740492/England-Morocco-June-6-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Sat,6/7/1986,12:00,Northern Ireland nir,1,NA,es Spain,2,NA,28000,Tres de Marzo (Neutral Site),Horst Brummeier,,https://fbref.com/en/matches/fdc936e2/Northern-Ireland-Spain-June-7-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Sat,6/7/1986,12:00,Mexico mx,1,NA,py Paraguay,1,NA,114600,Estadio Azteca (Neutral Site),George Courtney,,https://fbref.com/en/matches/9dc65655/Mexico-Paraguay-June-7-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Sat,6/7/1986,16:00,Poland pl,1,NA,pt Portugal,0,NA,19915,Estadio Universitario (Neutral Site),Ali Bennaceur,,https://fbref.com/en/matches/7e853f5f/Poland-Portugal-June-7-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Sun,6/8/1986,12:00,Iraq iq,1,NA,be Belgium,2,NA,20000,Bombonera - Estadio Nemesio Diez (Neutral Site),Jesus Diaz Palacio,,https://fbref.com/en/matches/a01dbffa/Iraq-Belgium-June-8-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Sun,6/8/1986,12:00,West Germany de,2,NA,sct Scotland,1,NA,30000,Estadio Corregidora (Neutral Site),Ioan Igna,,https://fbref.com/en/matches/94cd28bc/West-Germany-Scotland-June-8-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Sun,6/8/1986,16:00,Denmark dk,6,NA,uy Uruguay,1,NA,26500,Neza (Neutral Site),Antonio Marquez Ramirez,,https://fbref.com/en/matches/5b22beb8/Denmark-Uruguay-June-8-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Mon,6/9/1986,12:00,Soviet Union su,2,NA,ca Canada,0,NA,14200,Estadio Irapuato (Neutral Site),Idrissa Traore,,https://fbref.com/en/matches/9a478d07/Soviet-Union-Canada-June-9-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Mon,6/9/1986,12:00,Hungary hu,0,NA,fr France,3,NA,31420,Nou Camp - Estadio Leï¿½n (Neutral Site),Carlos Alberto Silva Valente,,https://fbref.com/en/matches/08d0f45b/Hungary-France-June-9-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Tue,6/10/1986,12:00,Korea Republic kr,2,NA,it Italy,3,NA,20000,Cuauhtemoc (Neutral Site),David Socha,,https://fbref.com/en/matches/cae6b1c2/Korea-Republic-Italy-June-10-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Tue,6/10/1986,12:00,Argentina ar,2,NA,bg Bulgaria,0,NA,65000,Estadio Olï¿½mpico Universitario (Neutral Site),Berny Ulloa Morera,,https://fbref.com/en/matches/d4f5beb7/Argentina-Bulgaria-June-10-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Wed,6/11/1986,12:00,Paraguay py,2,NA,be Belgium,2,NA,16000,Bombonera - Estadio Nemesio Diez (Neutral Site),Bogdan Dotchev,,https://fbref.com/en/matches/f181c140/Paraguay-Belgium-June-11-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Wed,6/11/1986,12:00,Iraq iq,0,NA,mx Mexico,1,NA,103763,Estadio Azteca (Neutral Site),Zoran Petrovic,,https://fbref.com/en/matches/831a938c/Iraq-Mexico-June-11-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Wed,6/11/1986,16:00,England eng,3,NA,pl Poland,0,NA,22700,Tecnologico (Neutral Site),Andre Daina,,https://fbref.com/en/matches/f05592ec/England-Poland-June-11-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Wed,6/11/1986,16:00,Portugal pt,1,NA,ma Morocco,3,NA,28000,Tres de Marzo (Neutral Site),Alan Snoddy,,https://fbref.com/en/matches/73f60686/Portugal-Morocco-June-11-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Thu,6/12/1986,12:00,Algeria dz,0,NA,es Spain,3,NA,23980,Tecnologico (Neutral Site),Shizuo Takada,,https://fbref.com/en/matches/09578f69/Algeria-Spain-June-12-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Thu,6/12/1986,12:00,Northern Ireland nir,0,NA,br Brazil,3,NA,51000,Jalisco (Neutral Site),Siegfried Kirschen,,https://fbref.com/en/matches/d5b59418/Northern-Ireland-Brazil-June-12-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Fri,6/13/1986,12:00,Scotland sct,0,NA,uy Uruguay,0,NA,20000,Neza (Neutral Site),Joel Quiniou,,https://fbref.com/en/matches/6c9c0cdb/Scotland-Uruguay-June-13-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Group stage,NA,Fri,6/13/1986,12:00,Denmark dk,2,NA,de West Germany,0,NA,36000,Estadio Corregidora (Neutral Site),Alexis Ponnet,,https://fbref.com/en/matches/d961ceec/Denmark-West-Germany-June-13-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Round of 16,NA,Sun,6/15/1986,12:00,Mexico mx,2,NA,bg Bulgaria,0,NA,114580,Estadio Azteca (Neutral Site),Romualdo Arppi Filho,,https://fbref.com/en/matches/f07ec936/Mexico-Bulgaria-June-15-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Round of 16,NA,Sun,6/15/1986,16:00,Soviet Union su,3,NA,be Belgium,4,NA,32277,Nou Camp - Estadio Leï¿½n (Neutral Site),Erik Fredriksson,Required Extra Time,https://fbref.com/en/matches/00d0f78d/Soviet-Union-Belgium-June-15-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Round of 16,NA,Mon,6/16/1986,12:00,Brazil br,4,NA,pl Poland,0,NA,45000,Jalisco (Neutral Site),Volker Roth,,https://fbref.com/en/matches/d0704dcb/Brazil-Poland-June-16-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Round of 16,NA,Mon,6/16/1986,16:00,Argentina ar,1,NA,uy Uruguay,0,NA,26000,Cuauhtemoc (Neutral Site),Luigi Agnolin,,https://fbref.com/en/matches/01c4897c/Argentina-Uruguay-June-16-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Round of 16,NA,Tue,6/17/1986,12:00,Italy it,0,NA,fr France,2,NA,70000,Estadio Olï¿½mpico Universitario (Neutral Site),Carlos Esposito,,https://fbref.com/en/matches/c66caf1d/Italy-France-June-17-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Round of 16,NA,Tue,6/17/1986,16:00,Morocco ma,0,NA,de West Germany,1,NA,19800,Estadio Universitario (Neutral Site),Zoran Petrovic,,https://fbref.com/en/matches/9ca185be/Morocco-West-Germany-June-17-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Round of 16,NA,Wed,6/18/1986,12:00,England eng,3,NA,py Paraguay,0,NA,98728,Estadio Azteca (Neutral Site),Jamal Al Sharif,,https://fbref.com/en/matches/59a46d23/England-Paraguay-June-18-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Round of 16,NA,Wed,6/18/1986,16:00,Denmark dk,1,NA,es Spain,5,NA,38500,Estadio Corregidora (Neutral Site),Jan Keizer,,https://fbref.com/en/matches/ef57c765/Denmark-Spain-June-18-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Quarter-finals,NA,Sat,6/21/1986,12:00,Brazil br,1,NA,fr France,1,NA,65000,Jalisco (Neutral Site),Ioan Igna,France won on penalty kicks following extra time,https://fbref.com/en/matches/349c7ead/Brazil-France-June-21-1986-FIFA-World-Cup
FIFA World Cup,M,NA,1986,Quarter-finals,NA,Sat,6/21/1986,16:00,West Germany de,0,NA,mx Mexico,0,NA,41700,Estadio Universitario (Neutral Site),Jesus Diaz Palacio,West Germany won on penalty kicks following extra time,https://fbref.com/en/matches/94744a8d/West-Germany-Mexico-June-21-1986-FIFA-World-Cup
